k1_cm^-1,E11_cm3_s^-2
3.260000000000000142e+01,1.997192222976573901e-03
3.280000000000000426e+01,1.912324239517048524e-03
3.300000000000000000e+01,1.808625262009583203e-03
3.320000000000000284e+01,1.731824875206608005e-03
3.339999999999999858e+01,1.658240657722037268e-03
3.360000000000000142e+01,1.572026098784934899e-03
3.380000000000000426e+01,1.504787933913337775e-03
3.400000000000000000e+01,1.426509658459838804e-03
3.420000000000000284e+01,1.362630187199149502e-03
3.439999999999999858e+01,1.301339713530160185e-03
3.460000000000000142e+01,1.232118735902608744e-03
3.480000000000000426e+01,1.181727383074972606e-03
3.500000000000000000e+01,1.126736499217646098e-03
3.520000000000000284e+01,1.069598159708980579e-03
3.539999999999999858e+01,1.017123039854229277e-03
3.560000000000000142e+01,9.762474124077971140e-04
3.580000000000000426e+01,9.282549581988424215e-04
3.600000000000000000e+01,8.910952291508639255e-04
3.620000000000000284e+01,8.477419852913404327e-04
3.639999999999999858e+01,8.075584063653922862e-04
3.660000000000000142e+01,7.726045390633387577e-04
3.680000000000000426e+01,7.349869477775878299e-04
3.700000000000000000e+01,7.003911856997299765e-04
3.720000000000000284e+01,6.670925991332078784e-04
3.739999999999999858e+01,6.373424886594215725e-04
3.760000000000000142e+01,6.032410775129450845e-04
3.780000000000000426e+01,5.792295738892510150e-04
3.800000000000000000e+01,5.521367917884849839e-04
3.820000000000000284e+01,5.284254005879839098e-04
3.840000000000000568e+01,0.000000000000000000e+00
