k1_cm^-1,E11_cm3_s^-2
2.360000000000000142e+01,1.577284352737079801e-02
2.380000000000000071e+01,1.504489005318988652e-02
2.400000000000000000e+01,1.409868244999956319e-02
2.420000000000000284e+01,1.342534954186251628e-02
2.440000000000000213e+01,1.272873365849494856e-02
2.460000000000000142e+01,1.206445331282307576e-02
2.480000000000000071e+01,1.146379699193528223e-02
2.500000000000000000e+01,1.084847743969357715e-02
2.520000000000000284e+01,1.028414964246522102e-02
2.540000000000000213e+01,9.778370080595202157e-03
2.560000000000000142e+01,0.000000000000000000e+00
