k1_cm^-1,E11_cm3_s^-2
3.100000000000000000e+01,4.139820720823848827e-05
3.120000000000000284e+01,3.883984833360031285e-05
3.140000000000000213e+01,3.688945008171304107e-05
3.160000000000000142e+01,3.486063765692932879e-05
3.180000000000000071e+01,3.271596314571978263e-05
3.200000000000000000e+01,3.069100841481553770e-05
3.220000000000000284e+01,2.878659846772275825e-05
3.239999999999999858e+01,2.726633960218263430e-05
3.260000000000000142e+01,2.580207306527353559e-05
3.280000000000000426e+01,2.421596089775670263e-05
3.300000000000000000e+01,2.318161172776997156e-05
3.320000000000000284e+01,2.199187056670881966e-05
3.339999999999999858e+01,2.071161210431948294e-05
3.360000000000000142e+01,1.972741168571500776e-05
3.380000000000000426e+01,1.866159296688107804e-05
3.400000000000000000e+01,1.774716425775137364e-05
3.420000000000000284e+01,1.701653216102758673e-05
3.439999999999999858e+01,1.622763988142622910e-05
3.460000000000000142e+01,1.543937945723906007e-05
3.480000000000000426e+01,1.478257022091465551e-05
3.500000000000000000e+01,1.424337996397765742e-05
3.520000000000000284e+01,1.372382128361313414e-05
3.539999999999999858e+01,1.337440776315174480e-05
3.560000000000000142e+01,1.299233955794554153e-05
3.580000000000000426e+01,1.267081198716672769e-05
3.600000000000000000e+01,1.244368108375811319e-05
3.620000000000000284e+01,1.220775050814269865e-05
3.639999999999999858e+01,1.202474688386573900e-05
3.660000000000000142e+01,1.194774503435349021e-05
3.680000000000000426e+01,1.212000525943063634e-05
3.700000000000000000e+01,1.206462835134073648e-05
3.720000000000000284e+01,1.231500076083017704e-05
3.739999999999999858e+01,1.279634350312349543e-05
3.760000000000000142e+01,1.327016020580060281e-05
3.780000000000000426e+01,1.412866668147977268e-05
3.800000000000000000e+01,1.472995177703095681e-05
3.820000000000000284e+01,1.593077985152603951e-05
3.840000000000000568e+01,0.000000000000000000e+00
